,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0.0,0.0,2.7451630891485424e-07,3.189434798107598e-12,0.0,0.23258018347931575,37.28320248449697,0.0,0.0,0.0,0.0,2,0.1
1,24.0,25.77955407763488,25.777859593516514,28.333196748046618,23.84775658447548,2.3371809160169414,6.122854158433294,10.153922676166362,-0.002575601483527289,-0.02389144530570845,0.3469102988883243,2,0.1
2,48.0,39.03403460261165,39.02221268047956,39.62794280478462,36.69507945105922,4.528274101126809,6.632578378969815,12.99976930964125,0.024194920834401654,-0.021778751453926742,0.27045602518225115,2,0.1
3,72.0,51.64100558400085,51.60003471881363,51.71051370323847,48.86952286697662,5.577879241466449,7.772863532159182,16.77681069737999,0.08867664221896737,0.04943640369017108,0.15575388707361967,2,0.1
4,96.0,62.31054124626801,62.22638524606423,62.24481463035606,59.0953801763626,5.933056170181984,8.944512760415636,20.509498327923737,0.0980560070538063,0.02633295838817309,0.1028823956026352,2,0.1
5,120.0,71.25779364757975,71.11856283286033,71.10161377175129,67.59001727682309,6.161284640134736,10.094371516795889,23.976946820456554,0.06939261337671479,-0.01109341295597889,0.04998162149417705,2,0.1
6,144.0,78.59859112023689,78.39620213496902,78.34569765174925,74.56750857529319,6.60020214540408,11.195832974960807,27.187811232181748,0.07976977106248208,0.027906854551257045,0.056184309349374836,2,0.1
7,168.0,84.33168158842352,84.05532775631166,83.977382208217,80.1021376294481,7.144902198705039,12.28213746546858,30.14865073899834,0.1260478963903292,0.08888559341223613,0.09374750829389762,2,0.1
8,192.0,88.64148638932126,88.297096959686,88.1213683936807,84.34738653650923,7.657895658891993,13.251863736200793,32.69892404356713,0.10801574777405681,0.09951213937502125,0.128029423637204,2,0.1
9,216.0,91.86304013236831,91.47938288573943,91.07110317860436,87.59599901211993,8.213174138457072,14.166446204217745,34.95863559195904,0.09982281167427874,0.03678887720425213,0.17896157075131253,2,0.1
10,240.0,94.43845605828314,93.9839710092548,93.47676236546917,90.15502812339169,8.71592102386647,15.007613215887813,37.0459298313407,0.1135794385731764,0.0162037599269195,0.2209107516741202,2,0.1
11,264.0,96.8405693398111,96.34742519440252,95.76267699538191,92.31666849251009,9.196021805944167,15.796734353002172,39.033113123099994,0.12108117267427775,0.03824871516738569,0.2022459905646867,2,0.1
12,288.0,99.16098281604056,98.60674838180906,97.88430101624532,94.25946687706579,9.663517904589664,16.47978871335192,40.89558626356536,0.07941422853545409,0.032391638535827355,0.20141685055519545,2,0.1
13,312.0,101.30331521975258,100.74657903560588,99.89735698306856,96.10342463381234,10.110028670531749,17.141844564727243,42.6869159996586,-0.008171347230686238,0.027214755530409983,0.2106837298350364,2,0.1
