,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,0.00020326379,4.644951869786438e-13,0.0,44.33252,1011.8071407140787,0.0,0.0,0.0,0.0,20,0.3
1,6,112.91016,121.41362,498.8425303138568,107.55041128822116,85.12285,338.6045430379568,45.956755718925244,0.40531103578499716,0.7671237707444173,0.6410786071251804,20,0.3
2,12,192.71977,198.02097,517.2413250790103,178.35434296714362,131.67198,355.4646724367289,79.44384110948246,0.4939302695188542,0.6851250613811647,0.6419859939894406,20,0.3
3,18,269.0638,268.6597,584.8094521659434,244.8009720030318,176.60547,433.153973421627,117.12645267373689,0.5586445901719765,0.6800375967069604,0.6656834901024725,20,0.3
4,24,354.60367,345.7247,652.5178581660052,315.32815063902837,213.01305,561.9441313722803,160.31993048796986,0.6025749349167596,0.724781331450949,0.6484822106084789,20,0.3
5,30,437.2044,416.6406,762.856177142279,382.2623269308131,242.40367,704.0906378992768,204.89756379206145,0.6048771270453027,0.7941741234559556,0.6438384281884133,20,0.3
6,36,519.9505,493.78192,857.1037009710783,449.007980670793,269.2458,834.255651460511,249.95575616643788,0.5943513318331912,0.81964842970547,0.6594373278784894,20,0.3
7,42,591.3535,558.81964,969.6216281396565,506.6182597844262,297.83316,944.3678477622225,295.64981302972444,0.588463799738785,0.8369391909610162,0.6730627307390683,20,0.3
8,48,664.89844,626.7869,1047.3996957998927,563.4267244243337,330.3437,1036.225629683491,342.4151163034909,0.5754990321046634,0.8413084522290932,0.6854847990828474,20,0.3
9,54,735.2747,689.33624,1147.0976908463556,615.5361375802652,368.8306,1113.907799016931,391.4914452764777,0.5566287680235644,0.8460930905284577,0.6846750388188366,20,0.3
10,60,812.6194,757.5858,1221.0843316100577,668.9629932761545,415.51062,1180.221732184767,443.5248166614446,0.5403054207711443,0.8428248889032419,0.667713573956884,20,0.3
11,66,885.0038,814.99603,1310.9018734303058,714.9264292539077,471.87766,1236.823119414821,498.5758038161037,0.546642716273392,0.8389254950646887,0.6523907446342411,20,0.3
12,72,962.4838,872.44006,1367.971587278745,759.304056121301,537.8664,1284.4200906839699,555.9067072312174,0.5466094772236697,0.8345418808907947,0.6295527588219683,20,0.3
13,78,1044.1428,928.12634,1445.074195896531,800.5429927590612,611.2588,1324.2718564269642,615.5700634791158,0.5549564680792478,0.8309230440706502,0.619166998288864,20,0.3
14,84,1136.2546,990.0172,1498.3201753858618,844.1987153121494,687.8319,1356.8697080465483,678.4249389668279,0.5548277384913342,0.8255973575733787,0.6022034487393132,20,0.3
15,90,1225.8121,1046.0614,1566.9558656571523,882.8467210724691,763.36926,1384.3496627067757,743.6902320364819,0.5661765491950115,0.8162846332333655,0.5854437218036673,20,0.3
16,96,1316.3401,1099.0192,1607.0703942472824,919.4704820279999,836.73486,1408.9684840512177,811.0962410139539,0.5617380567079385,0.8023171060524623,0.5540613286225737,20,0.3
17,102,1405.1111,1151.757,1666.6145793169264,953.766545739795,907.11005,1431.9526388287027,880.4001279883901,0.565787382974576,0.7820792175327844,0.5275299365474508,20,0.3
18,108,1491.6039,1206.3561,1708.3141617213566,989.3678259519821,973.5275,1453.9319174779666,950.6070538912583,0.5597910331970655,0.7547356795223379,0.4930025898049987,20,0.3
19,114,1570.51,1254.0642,1764.3594247635788,1020.7714850598531,1035.4622,1474.6231908851896,1020.9258577188591,0.5619207247335019,0.7211627946762225,0.468503638128404,20,0.3
