,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,0.00042919643,8.266429260019102e-13,0.0,4.437001,101.1807140714079,0.0,0.0,0.0,0.0,100,0.03
1,6,112.91016,113.11477,123.69610695537142,107.55041128822116,21.958977,67.88715285905255,45.956755718925244,0.31280286011947916,0.5484264440916216,0.6410786071251804,100,0.03
2,12,192.71977,192.02629,197.36219615939805,178.35434296714362,53.502193,90.3823890056004,79.44384110948246,0.3507663017595519,0.4533559855552829,0.6419859939894406,100,0.03
3,18,269.0638,263.16666,264.51263609459266,244.8009720030318,101.17236,131.1176522953175,117.12645267373689,0.3721311925045152,0.4628874155902015,0.6656834901024725,100,0.03
4,24,354.60367,339.52405,338.2273710544271,315.32815063902837,145.10643,173.87777387621773,160.31993048796986,0.4106339627741057,0.503516636859426,0.6484822106084789,100,0.03
5,30,437.2044,412.57898,409.1098853579644,382.2623269308131,177.276,209.66667380503745,204.89756379206145,0.44803417521959865,0.5390862080727423,0.6438384281884133,100,0.03
6,36,519.9505,489.52783,485.2552264897016,449.007980670793,202.0319,239.57461436105154,249.95575616643788,0.5000454951443634,0.5743838565752911,0.6594373278784894,100,0.03
7,42,591.3535,555.6517,550.0345609797722,506.6182597844262,225.45628,267.5551242288571,295.64981302972444,0.5568658260518414,0.6133759518300115,0.6730627307390683,100,0.03
8,48,664.89844,624.1698,617.0760484072497,563.4267244243337,251.42166,297.52643987930804,342.4151163034909,0.599496405158645,0.6403614079133921,0.6854847990828474,100,0.03
9,54,735.2747,687.9833,679.0569454332858,615.5361375802652,282.65616,332.6099933412322,391.4914452764777,0.6134810888302579,0.6460653660572264,0.6846750388188366,100,0.03
10,60,812.6194,756.61926,745.7327017079874,668.9629932761545,321.33386,375.2758763696199,443.5248166614446,0.6106961422894924,0.6292442030567859,0.667713573956884,100,0.03
11,66,885.0038,814.8183,802.0296227410382,714.9264292539077,368.65204,426.99011721249695,498.5758038161037,0.6191612914636068,0.6294752466660356,0.6523907446342411,100,0.03
12,72,962.4838,873.19183,858.2296385683832,759.304056121301,425.10062,487.69140290112847,555.9067072312174,0.6194737658510203,0.6330043319953697,0.6295527588219683,100,0.03
13,78,1044.1428,928.97675,911.7602000791366,800.5429927590612,489.79102,556.2124982328489,615.5700634791158,0.6197444254712774,0.6476918454677495,0.619166998288864,100,0.03
14,84,1136.2546,990.2113,970.8057875559889,844.1987153121494,560.86566,630.6742475658093,678.4249389668279,0.6051226075364063,0.6499137483459068,0.6022034487393132,100,0.03
15,90,1225.8121,1045.0066,1023.7550085734384,882.8467210724691,635.0707,707.8409716343858,743.6902320364819,0.5942948867961653,0.6579738419260346,0.5854437218036673,100,0.03
16,96,1316.3401,1097.5154,1074.4364858158633,919.4704820279999,709.4201,784.6936237546199,811.0962410139539,0.5717947645759349,0.6526656466612559,0.5540613286225737,100,0.03
17,102,1405.1111,1148.8629,1124.4110574667884,953.766545739795,782.0676,859.1315762179976,880.4001279883901,0.5544655060931212,0.6523123677081413,0.5275299365474508,100,0.03
18,108,1491.6039,1202.2122,1176.7271461988287,989.3678259519821,851.976,930.0136940251903,950.6070538912583,0.5275248657755236,0.6396261203993339,0.4930025898049987,100,0.03
19,114,1570.51,1248.2473,1222.2513330362194,1020.7714850598531,918.31525,996.9940748378136,1020.9258577188591,0.508060343403146,0.6346921060816029,0.468503638128404,100,0.03
