,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,4.441536e-06,4.290633163616964e-12,0.0,4.3818827,101.18071407140796,0.0,0.0,0.0,0.0,2,0.03
1,6,112.91016,113.17155,127.31924243736275,112.38136765075146,21.431877,54.778952741245426,32.43323716978515,0.22513161154264494,0.4582312274779937,0.6066777323535535,2,0.03
2,12,192.71977,192.37624,202.5320245328858,186.00796396921706,51.96066,72.78948048996007,57.10904607924701,0.29901323364964394,0.39172502395397846,0.5971454079912077,2,0.03
3,18,269.0638,264.66577,272.93191630699135,259.95288923292634,96.6741,106.49408862617312,86.89648625300123,0.3400408213781518,0.388143644991674,0.6001853236109614,2,0.03
4,24,354.60367,342.89307,350.9752656768105,339.7023667446771,135.39488,141.20267909990423,121.58115188702745,0.35943508592475254,0.36545550776785507,0.6056078301192965,2,0.03
5,30,437.2044,418.24152,425.6998105923681,417.31702980787037,162.03484,169.281157999915,157.10501842721365,0.3458743813557468,0.35886719824457736,0.5993951195746988,2,0.03
6,36,519.9505,496.90506,504.4707780484282,493.0676223608355,181.24936,192.22745318100797,192.93371604982372,0.3289150182061789,0.35766350836192456,0.5865670408748929,2,0.03
7,42,591.3535,564.66626,571.8482259760865,561.8336432542995,199.23293,212.4997840515533,228.99907261939438,0.33364486453936676,0.3699322614049958,0.5801540043944237,2,0.03
8,48,664.89844,634.96234,641.7912760477657,628.9587913184877,219.30469,234.15909679146108,266.13087547075565,0.3586859815852395,0.3950816311125582,0.5778006871999483,2,0.03
9,54,735.2747,701.60846,707.5701467479182,693.8418848895614,242.98026,259.3413575131625,306.81565380981647,0.389334041096855,0.4373522057958275,0.5771133329548976,2,0.03
10,60,812.6194,774.13,779.4222645672237,758.909168813611,271.0794,289.3015999724155,349.84434129469565,0.4132957375865882,0.46759352692570116,0.570086610489936,2,0.03
11,66,885.0038,837.9791,843.9694238713581,820.5399933669463,305.0148,325.93638095937416,395.46382588463507,0.4499395667170975,0.49148059664528365,0.577647978513902,2,0.03
12,72,962.4838,904.01935,911.3701020892081,880.7704112683753,345.85696,368.6369140255998,443.68049682674393,0.47248916788198864,0.5136323432719815,0.5856111133700662,2,0.03
13,78,1044.1428,970.3851,978.6636606138294,941.755313353866,392.9281,416.6083958651547,493.4834288285948,0.49863101143208605,0.5468480711298309,0.6063996194949111,2,0.03
14,84,1136.2546,1044.3002,1053.5968634744222,1003.1980714673645,444.87115,469.2184028063167,544.0194350766578,0.5069283012233019,0.5544220381298306,0.6126649564855773,2,0.03
15,90,1225.8121,1114.6552,1123.6694990425399,1063.109495541582,499.3325,524.3166474848989,594.9868719815024,0.5251555009588729,0.5643232765353028,0.6268990418787639,2,0.03
16,96,1316.3401,1183.5977,1191.899464837661,1119.3884543762235,553.52936,579.4085824707564,645.4216152725766,0.5176773762505197,0.5564520425100773,0.6301151766577863,2,0.03
17,102,1405.1111,1251.7576,1258.9218068261744,1175.9183020404557,605.09674,632.6558681439593,695.829641754326,0.521508558042367,0.5608280407881578,0.6407337953726026,2,0.03
18,108,1491.6039,1321.5676,1328.653250237394,1232.155321129343,654.49243,683.1817272494093,747.3517750188851,0.5100148864605377,0.5549533127232494,0.6479338406274585,2,0.03
19,114,1570.51,1384.6178,1392.2841280857724,1288.3926908629358,700.38806,731.196948244502,797.5314774299912,0.5188220042053261,0.5551344940234263,0.6563035423684137,2,0.03
