,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,0.00042916415,8.271356902756368e-13,0.0,1.4816978,33.7269046904693,0.0,0.0,0.0,0.0,100,0.01
1,6,112.91016,112.93188,113.65870542090401,107.55041128822116,9.58498,27.590107803550886,45.956755718925244,0.26854127550607126,0.5105182331474305,0.6410786071251804,100,0.01
2,12,192.71977,192.43944,192.38114070316877,178.35434296714362,26.842916,42.28217728467911,79.44384110948246,0.3089006939381967,0.37006474645203263,0.6419859939894406,100,0.01
3,18,269.0638,266.33997,264.65095756877827,244.8009720030318,59.904747,72.69372819817721,117.12645267373689,0.305253454721061,0.3392841053787316,0.6656834901024725,100,0.01
4,24,354.60367,346.304,343.3777632870097,315.32815063902837,97.15531,108.53169150144514,160.31993048796986,0.3100477948132605,0.3415403299154817,0.6484822106084789,100,0.01
5,30,437.2044,422.5423,419.0971138020117,382.2623269308131,127.775246,139.15894587383224,204.89756379206145,0.30575583913004134,0.33589701921267,0.6438384281884133,100,0.01
6,36,519.9505,500.83453,497.59431473591707,449.007980670793,151.58522,163.64850731586716,249.95575616643788,0.3208993640535741,0.3479720612854465,0.6594373278784894,100,0.01
7,42,591.3535,568.26056,565.1627164353233,506.6182597844262,172.73262,185.54786502381955,295.64981302972444,0.3661174695661055,0.3897163652158744,0.6730627307390683,100,0.01
8,48,664.89844,637.923,634.9271490416994,563.4267244243337,195.29298,208.8723302068967,342.4151163034909,0.43773516635127013,0.461514112067384,0.6854847990828474,100,0.01
9,54,735.2747,703.73474,700.6958444963766,615.5361375802652,222.16045,236.56684674089135,391.4914452764777,0.49941409002581166,0.5274441012970964,0.6846750388188366,100,0.01
10,60,812.6194,774.5598,771.5072506193733,668.9629932761545,255.8931,271.18554475617265,443.5248166614446,0.5355751241458178,0.5693146453024134,0.667713573956884,100,0.01
11,66,885.0038,836.0824,833.144492661716,714.9264292539077,298.612,314.6240087106143,498.5758038161037,0.5690729373725595,0.6083994798708187,0.6523907446342411,100,0.01
12,72,962.4838,898.42786,895.5638214452839,759.304056121301,350.56714,366.88635133215143,555.9067072312174,0.5825707110014696,0.6256304594172598,0.6295527588219683,100,0.01
13,78,1044.1428,959.2497,956.3907643652897,800.5429927590612,410.7299,427.2676092234572,615.5700634791158,0.5849354346896781,0.6317008059370346,0.619166998288864,100,0.01
14,84,1136.2546,1025.79,1022.8879779041833,844.1987153121494,477.46393,493.9529291897815,678.4249389668279,0.56327171792034,0.6162426280744167,0.6022034487393132,100,0.01
15,90,1225.8121,1086.9435,1083.7787590593175,882.8467210724691,548.0019,564.3622585996037,743.6902320364819,0.5379747304576595,0.5962042939477092,0.5854437218036673,100,0.01
16,96,1316.3401,1146.1886,1142.4513995847801,919.4704820279999,619.1808,635.8968386514063,811.0962410139539,0.49759254399239505,0.5628942849390873,0.5540613286225737,100,0.01
17,102,1405.1111,1204.3684,1199.8851486016113,953.766545739795,688.82874,706.3873216652224,880.4001279883901,0.4641632073070616,0.5356520609224202,0.5275299365474508,100,0.01
18,108,1491.6039,1263.3474,1258.2061976599423,989.3678259519821,755.60876,774.6656563665085,950.6070538912583,0.42953004779208137,0.5054089841083447,0.4930025898049987,100,0.01
19,114,1570.51,1315.0889,1309.256771965689,1020.7714850598531,819.66516,840.1947423949233,1020.9258577188591,0.40509180666835365,0.48414416976178226,0.468503638128404,100,0.01
