,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,2.6797509e-06,2.1750689341234057e-12,0.0,1.4613631,33.726904690469325,0.0,0.0,0.0,0.0,2,0.01
1,6,112.91016,112.93563,114.16402005755411,112.38136765075146,9.397024,23.72966917508316,32.43323716978515,0.14479337513115845,0.3946884102065767,0.6066777323535535,2,0.01
2,12,192.71977,192.49603,193.35977901389464,186.00796396921706,26.032343,35.4956933512578,57.10904607924701,0.2112812744604651,0.32331555911874155,0.5971454079912077,2,0.01
3,18,269.0638,266.84363,267.1688302101743,259.95288923292634,56.24228,60.325530908693906,86.89648625300123,0.23435900183025382,0.2628820758866162,0.6001853236109614,2,0.01
4,24,354.60367,348.0772,348.3782771725037,339.7023667446771,88.941986,88.71224066550039,121.58115188702745,0.23964722950857612,0.23777352592156595,0.6056078301192965,2,0.01
5,30,437.2044,425.89157,426.79027424333987,417.31702980787037,114.96924,112.47848818723773,157.10501842721365,0.2334069232064964,0.23082548825658328,0.5993951195746988,2,0.01
6,36,519.9505,505.42203,507.3505769302932,493.0676223608355,134.58139,130.55846064031238,192.93371604982372,0.22932091025999704,0.2388807089435811,0.5865670408748929,2,0.01
7,42,591.3535,573.8682,576.3574339027941,561.8336432542995,151.55954,146.59657792775843,228.99907261939438,0.275027283597302,0.2680398396562155,0.5801540043944237,2,0.01
8,48,664.89844,645.1114,647.7755842894852,628.9587913184877,169.5384,164.56673393457567,266.13087547075565,0.3448851119909646,0.31580342433451264,0.5778006871999483,2,0.01
9,54,735.2747,712.74963,715.6464279155057,693.8418848895614,190.43327,186.93278177496992,306.81565380981647,0.39790231820095096,0.3680726498790432,0.5771133329548976,2,0.01
10,60,812.6194,786.3938,789.6982211967396,758.909168813611,216.83936,214.22698105932753,349.84434129469565,0.4522874891416956,0.40611163499330727,0.570086610489936,2,0.01
11,66,885.0038,852.95184,855.8928142914772,820.5399933669463,251.0204,247.35784315386366,395.46382588463507,0.4938489322766734,0.45440960247959533,0.577647978513902,2,0.01
12,72,962.4838,922.1644,924.2242600984598,880.7704112683753,292.4084,287.1823248070678,443.68049682674393,0.5033771182797236,0.489959856438652,0.5856111133700662,2,0.01
13,78,1044.1428,991.8652,992.8948004248707,941.755313353866,339.65463,332.56003156145715,493.4834288285948,0.5106659910427724,0.5152685345848386,0.6063996194949111,2,0.01
14,84,1136.2546,1068.4263,1068.6677943107986,1003.1980714673645,390.97058,382.53298900700435,544.0194350766578,0.5007613220098153,0.5122070878233193,0.6126649564855773,2,0.01
15,90,1225.8121,1140.3196,1141.3627366100745,1063.109495541582,442.69092,435.6656216393244,594.9868719815024,0.4766377379442755,0.5027788872421558,0.6268990418787639,2,0.01
16,96,1316.3401,1209.7838,1213.5546590006695,1119.3884543762235,493.6116,489.4086049514331,645.4216152725766,0.4349894436291774,0.4764816102401728,0.6301151766577863,2,0.01
17,102,1405.1111,1278.8779,1285.436340871265,1175.9183020404557,544.28827,542.9664986897656,695.829641754326,0.41380114533698487,0.4591821298080043,0.6407337953726026,2,0.01
18,108,1491.6039,1348.1923,1356.3867952238313,1232.155321129343,593.31537,593.8588919331829,747.3517750188851,0.3888566345463528,0.44049073773344605,0.6479338406274585,2,0.01
19,114,1570.51,1410.7505,1421.2928228282658,1288.3926908629358,640.9559,642.1788494185884,797.5314774299912,0.37477052181644116,0.41966912940817835,0.6563035423684137,2,0.01
