,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,4.7210622e-05,9.927839767983765e-14,0.0,0.4506149,10.11807140714079,0.0,0.0,0.0,0.0,4,0.003
1,6,112.91016,112.91098,112.9270318658509,110.55252556815084,3.4043658,9.437816665294939,39.30556687711431,0.15892386333487213,0.4167650405077284,0.6361734349130449,4,0.003
2,12,192.71977,192.66075,192.61197808406123,181.9824295575679,10.400122,15.29779498452467,67.71391357391265,0.22898312347008887,0.34798339523417043,0.636458503235399,4,0.003
3,18,269.0638,268.42657,268.1310328454977,251.70513604342202,26.224016,29.2191037505425,101.7340472063882,0.2209600672712378,0.3187056959698862,0.6535097310826853,4,0.003
4,24,354.60367,352.42932,352.0216015942498,326.23033968714134,46.86352,48.10101058780197,141.6137330555639,0.20147201064093725,0.284868371178429,0.6481441406327575,4,0.003
5,30,437.2044,432.9337,432.59325260321685,397.8367216390106,66.17636,66.17584218684004,182.98614529098586,0.16475936382802506,0.22342237654911662,0.6255373244308318,4,0.003
6,36,519.9505,513.97754,513.957207402334,467.8589824621483,82.344795,81.4690263899341,224.83359788086153,0.15360497728273784,0.1915303705676766,0.6229077654345245,4,0.003
7,42,591.3535,583.7404,584.1170159093068,530.7957028514825,97.0744,95.39233294531178,267.4310089147575,0.16783810161866106,0.1938706382034663,0.6178991831074184,4,0.003
8,48,664.89844,655.5986,656.3145235562922,592.5943396092723,112.36682,110.5492286676694,311.94939201863747,0.20348691445009578,0.22757171035943824,0.6257028751574596,4,0.003
9,54,735.2747,723.8738,725.2618682870715,653.0569258951515,130.54788,128.38885634875294,362.6122698394484,0.2630493783200386,0.28158697096995994,0.6127624629090178,4,0.003
10,60,812.6194,798.2013,800.4211470563223,715.4738021080437,153.54329,151.53598989299414,422.05290095804935,0.3305465957761869,0.35049185899193935,0.580256092728851,4,0.003
11,66,885.0038,865.2297,868.7204497570561,776.8620959195729,183.159,181.92464316265352,488.36567177298315,0.40417650663185284,0.4079546662970656,0.5658850503461899,4,0.003
12,72,962.4838,935.67664,939.7756912946552,837.0165501693044,219.84326,217.96059231281143,556.8624484371128,0.43074165881346116,0.41985531319052644,0.5491291319306779,4,0.003
13,78,1044.1428,1007.22437,1011.7514087220063,900.3156632094882,263.0826,259.3137810820459,627.7162520139692,0.4244401375082902,0.4170358925963913,0.554585331341418,4,0.003
14,84,1136.2546,1086.1471,1091.9850686486127,966.0550208671045,311.58392,308.39620821901525,701.4222123836902,0.3975062123856345,0.38988332172682055,0.566373911212495,4,0.003
15,90,1225.8121,1162.2224,1168.7606015561955,1034.8740335337195,363.14224,359.48902950851027,777.2416911553099,0.37558189566677114,0.3653442816839435,0.5735573496500017,4,0.003
16,96,1316.3401,1236.6766,1243.8948261403061,1101.6381232513704,415.61142,412.2276145486422,855.0486564807977,0.33285347708951873,0.33361823401765384,0.5488209545085353,4,0.003
17,102,1405.1111,1309.9307,1318.1254824691143,1173.7317459070377,466.9059,464.7448515733805,934.0407707362614,0.31261427275081266,0.3123650231699107,0.5233001487611523,4,0.003
18,108,1491.6039,1382.3444,1392.3786649129686,1244.7504326347412,516.3609,515.7847296996235,1015.232688908575,0.29946766895999954,0.2953144882741786,0.4946873247359187,4,0.003
19,114,1570.51,1447.9885,1459.1374692254997,1318.9816918992967,563.89264,564.7230780414322,1096.0930343324903,0.29654169265510966,0.2929718287568175,0.48626230447061725,4,0.003
