,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,0.00014382022,3.264463045800872e-13,0.0,4.4217935,101.1807140714079,0.0,0.0,0.0,0.0,10,0.03
1,6,112.91016,113.120636,124.2902461895744,109.03112567094885,21.874626,65.80250618364664,43.22312164885984,0.28489181453498347,0.5366747234493223,0.6390088313305667,10,0.03
2,12,192.71977,192.08461,198.05991024818894,180.14663631032943,53.02486,87.54268339525883,74.46781669048465,0.3343324091045443,0.4576948569171835,0.6375593526177985,10,0.03
3,18,269.0638,263.45056,265.7494551760202,248.21316709079207,100.043076,127.14052206605457,111.02843807809028,0.3467777711288683,0.4597633040630268,0.6518006446447444,10,0.03
4,24,354.60367,340.07343,340.0538318360808,320.7752908561415,143.28096,168.6845046542542,153.9353434139178,0.3815508643581606,0.504375058998892,0.6361418031484977,10,0.03
5,30,437.2044,413.5253,411.49620598445443,389.84051718368295,175.03317,203.3701762018069,198.81787474956909,0.41042397350926474,0.5372464781116318,0.6279608748877562,10,0.03
6,36,519.9505,490.84784,487.87106083896003,457.9957478603023,199.40878,232.1792260625881,244.89211963377755,0.4424625122733408,0.5529673418216091,0.6392741848326247,10,0.03
7,42,591.3535,557.27655,553.4216061874308,517.9724407636503,222.14981,259.0187710454089,292.0967402124739,0.4775616391484022,0.5842542604740506,0.6511962941011243,10,0.03
8,48,664.89844,626.4406,621.1594570710612,576.5312551754718,247.13882,287.4221328068796,340.7754135036749,0.5163176537056213,0.6093849024827362,0.6631501586867462,10,0.03
9,54,735.2747,690.9563,684.0372607764212,631.0487908638355,277.15347,320.52551023893415,393.0667239136071,0.5373595612124991,0.6231884135279189,0.6537203952239229,10,0.03
10,60,812.6194,760.65283,751.6894450658111,686.1137803326113,314.5685,360.7306234254463,450.0855524493276,0.5471619092705574,0.6134398585002905,0.6251976623985699,10,0.03
11,66,885.0038,820.36237,809.5114653827259,735.4440600525551,360.14783,409.43255367935353,511.32353061573167,0.5619676058325475,0.618640848526935,0.5959510488118227,10,0.03
12,72,962.4838,880.6472,867.6831001046985,782.80762719312,415.44467,467.04625105918956,575.0088013682205,0.5689344402588715,0.6178926466306671,0.5609583154526375,10,0.03
13,78,1044.1428,938.76855,923.6954392812049,828.2283875189357,479.163,531.9257168378599,641.212389964967,0.5736108475631857,0.6227111740875492,0.5376985579839256,10,0.03
14,84,1136.2546,1002.7521,985.4799736215298,875.6684598857995,548.6124,602.3761372057587,710.3168640437672,0.5638980543863475,0.6153911406237353,0.517530283793606,10,0.03
15,90,1225.8121,1060.3026,1041.4730109519508,919.6075944802793,619.9781,675.599041430149,781.8510702407114,0.5592569470347738,0.620101369470629,0.49636191776622873,10,0.03
16,96,1316.3401,1115.8356,1095.1737535814793,960.9346527991243,690.9834,748.6176357683096,855.3225669224711,0.5387616731035868,0.6162042980425491,0.4482577887017063,10,0.03
17,102,1405.1111,1170.2343,1148.409423669659,1001.0954850434439,759.5105,819.296931989174,930.1535507471257,0.5238505006348931,0.6166787684930501,0.39847893053834293,10,0.03
18,108,1491.6039,1226.6252,1203.7741352291525,1041.7949431659085,825.1911,886.9043542037155,1005.7135219778821,0.5054388591168315,0.6072384415854809,0.33579868597493906,10,0.03
19,114,1570.51,1276.0659,1252.2286744300093,1079.832865144366,888.0795,951.0638510065768,1081.1135402175296,0.49975587372373476,0.6040486193202192,0.2912677970108237,10,0.03
