,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,1.8175386e-05,7.919047959600287e-11,0.0,144.85397,3372.69046904693,0.0,0.0,0.0,0.0,2,1
1,6,112.91016,156.10292,1209.7376249468812,112.38136765075146,116.79642,551.5568072560701,32.43323716978515,0.5846767651671847,-0.1373598489546406,0.6066777323535535,2,1
2,12,192.71977,225.42807,1235.3367790382622,186.00796396921706,148.51222,579.8116108238462,57.10904607924701,0.5469573332687518,0.1534158843982642,0.5971454079912077,2,1
3,18,269.0638,298.32257,1360.3185920334824,259.95288923292634,181.84853,692.6001763675835,86.89648625300123,0.5391411749661537,0.35496840902905274,0.6001853236109614,2,1
4,24,354.60367,374.22888,1511.3822506258591,339.7023667446771,212.80681,830.5173796222949,121.58115188702745,0.5129302424563935,0.4035931996995259,0.6056078301192965,2,1
5,30,437.2044,446.6581,1687.2397911819346,417.31702980787037,239.54845,945.403687853077,157.10501842721365,0.4549400719492716,0.3446377872199389,0.5993951195746988,2,1
6,36,519.9505,524.5966,1828.073105747874,493.0676223608355,265.03452,1023.9119719193,192.93371604982372,0.413049322499689,0.26002495007925075,0.5865670408748929,2,1
7,42,591.3535,593.13885,1960.7346517710262,561.8336432542995,291.83777,1076.4476537707442,228.99907261939438,0.4188978055201589,0.1796330884383648,0.5801540043944237,2,1
8,48,664.89844,665.0881,2054.42207812048,628.9587913184877,321.26193,1112.4816464731764,266.13087547075565,0.4350955695033704,0.11361053163561606,0.5778006871999483,2,1
9,54,735.2747,735.017,2150.2496792688034,693.8418848895614,353.71323,1137.0366920419,306.81565380981647,0.45986468278562287,0.05027685005195328,0.5771133329548976,2,1
10,60,812.6194,811.90247,2223.572973371087,758.909168813611,392.37616,1153.3936138683953,349.84434129469565,0.48872335549165075,-0.014826389725107258,0.570086610489936,2,1
11,66,885.0038,882.79895,2301.519872568821,820.5399933669463,436.1889,1164.163821181628,395.46382588463507,0.5447253713691406,-0.07825182241152265,0.577647978513902,2,1
12,72,962.4838,954.2424,2352.25315114091,880.7704112683753,485.27948,1171.2352355220426,443.68049682674393,0.5741503989373616,-0.13971072523021472,0.5856111133700662,2,1
13,78,1044.1428,1028.371,2412.082065456287,941.755313353866,538.69055,1175.3855083841893,493.4834288285948,0.6178790771022331,-0.1765809491733924,0.6063996194949111,2,1
14,84,1136.2546,1106.8694,2457.5892088990317,1003.1980714673645,593.2246,1177.8036025900517,544.0194350766578,0.6336457383025262,-0.21764495144683144,0.6126649564855773,2,1
15,90,1225.8121,1181.6635,2511.667181710276,1063.109495541582,645.13055,1179.7015827658133,594.9868719815024,0.65441749015537,-0.2493363998535807,0.6268990418787639,2,1
16,96,1316.3401,1250.1759,2543.1232312421957,1119.3884543762235,694.36084,1181.4396463269816,645.4216152725766,0.650214186351239,-0.2676035854992661,0.6301151766577863,2,1
17,102,1405.1111,1319.3413,2586.589633572919,1175.9183020404557,741.0713,1182.2942121852186,695.829641754326,0.6541761756417181,-0.2750195012257559,0.6407337953726026,2,1
18,108,1491.6039,1387.5172,2619.495491270767,1232.155321129343,784.0362,1182.6097153366109,747.3517750188851,0.6393963467701168,-0.27524750377766677,0.6479338406274585,2,1
19,114,1570.51,1450.3284,2662.536938659165,1288.3926908629358,823.75824,1182.7496434192083,797.5314774299912,0.6385037664236068,-0.27299175183298435,0.6563035423684137,2,1
