,leadtime,rmse_ctrl,rmse_ensmean_svd,rmse_ensmean_rand,rmse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0.0,0.0,3.8652597e-09,7.482347379008137e-17,0.0,0.020356052,0.01,0.0,0.0,0.0,0.0,2,0.01
1,0.1,0.05588127,0.055900835,0.0558880338897803,0.050963152,0.016460048,0.008848383861582706,0.0072283926,0.5192268111561953,-0.08382283148610056,,2,0.01
2,0.2,0.079982676,0.080056064,0.08001083742194698,0.069327,0.019315545,0.010306087209184264,0.0132169705,-0.06627403136725987,-0.027118883274857442,0.8579613913996699,2,0.01
3,0.3,0.10753608,0.10772316,0.10760225881659696,0.09144182,0.025105929,0.012378352476076866,0.019646758,-0.0646564016332818,-0.011836700318074003,0.8631819619454264,2,0.01
4,0.4,0.1393597,0.13969414,0.13947943019262637,0.12059971,0.0301334,0.014720082728039117,0.026771674,-0.05357373530583813,0.09294530457119127,0.7958826273041028,2,0.01
5,0.5,0.17468156,0.17514789,0.1748669366705051,0.15879375,0.0343167,0.017269878830400445,0.034576077,-0.04559660412416267,0.16823683938267,0.6896573497247531,2,0.01
6,0.6,0.21172813,0.21229415,0.21197945787714603,0.20647009,0.0375851,0.02000875526869438,0.043481402,-0.05148367793686578,0.2486673651597651,0.6159886384962994,2,0.01
7,0.7000000000000001,0.25040543,0.2510831,0.25069736852504104,0.26522735,0.040731706,0.023020671443032627,0.05413817,-0.05592280985804258,0.33597008108245796,0.6079249550506156,2,0.01
8,0.8,0.2912747,0.29202312,0.29154818518799236,0.33253732,0.044128794,0.02644838548481179,0.066847056,-0.020772343372002178,0.38215415509734485,0.6153710029069043,2,0.01
9,0.9,0.33769873,0.3383917,0.33781675648497106,0.40506628,0.047975015,0.030319932034826136,0.08216738,-0.025978129908355265,0.43579098505164227,0.6485921668921586,2,0.01
10,1.0,0.39167947,0.392111,0.39140981227922,0.477767,0.0526703,0.03470065081629548,0.10043915,-0.012382963475813398,0.509541708370904,0.6864537512307334,2,0.01
11,1.1,0.45122534,0.45079952,0.4502674773784608,0.54752016,0.05808819,0.039614237044623114,0.12089384,0.009568474734928525,0.5796169982870379,0.7081052491792102,2,0.01
12,1.2,0.5121384,0.5104265,0.5103739321829195,0.6093961,0.064135656,0.04525247182859054,0.14303714,0.01843018106789865,0.6254846198496643,0.7244446327659797,2,0.01
13,1.3,0.5724909,0.5690424,0.5693373440957508,0.6615403,0.069949046,0.05131577031995261,0.16725585,0.04131871756534287,0.6617344154511813,0.7464785312073441,2,0.01
14,1.4000000000000001,0.62914634,0.62374187,0.6242837903446483,0.7068187,0.07615151,0.05786652263212893,0.192995,0.06332146382459361,0.6834906262437669,0.7397175033256923,2,0.01
15,1.5,0.6814356,0.6742638,0.6750641441275996,0.7466105,0.08317884,0.06465248488358749,0.21991657,0.0836647969601457,0.6879851981952521,0.7321041448690633,2,0.01
16,1.6,0.7289586,0.72038025,0.7207456141429297,0.7806895,0.09044422,0.07159825378509813,0.24787045,0.09017108009327324,0.6794356396063621,0.7301972112780691,2,0.01
17,1.7,0.77449256,0.76466936,0.7641684741253026,0.8123546,0.097917676,0.07887526351071884,0.27390626,0.10185184875161676,0.6648742326488676,0.7210836521347685,2,0.01
18,1.8,0.81713927,0.80513006,0.8047763578938139,0.8430158,0.10537745,0.0867397056333202,0.29862744,0.11015278687620916,0.6634613861210286,0.6911598217370144,2,0.01
19,1.9000000000000001,0.8570148,0.84236467,0.8424469240945233,0.87207514,0.11253714,0.09432620033926531,0.3228757,0.10377814655024684,0.6610041461053322,0.6576185278737074,2,0.01
20,2.0,0.89276797,0.8762789,0.8764223685575453,0.90003407,0.11985452,0.10222749721120797,0.3457591,0.09321223352616678,0.6554843623285883,0.6221885182807748,2,0.01
