,leadtime,rmse_ctrl,rmse_ensmean_svd,rmse_ensmean_rand,rmse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0.0,0.0,1.5297162e-07,2.89449668804272e-16,7.3640877e-07,0.0060601733,0.003,5.222537e-07,0.0,0.0,0.0,100,0.003
1,0.1,0.05588127,0.055883013,0.05588187368437036,0.04962185,0.0049045826,0.0030999271650231654,0.02898232,0.03863435183016922,0.012337721804268096,0.864940546202502,100,0.003
2,0.2,0.079982676,0.07998908,0.07998520803870413,0.06527133,0.005757498,0.003700687135545589,0.05317562,-0.15816366399077011,-0.28725677724721704,0.8543107482907396,100,0.003
3,0.3,0.10753608,0.10755194,0.10754205825706155,0.08312454,0.0075075193,0.004471705660986063,0.07834218,-0.2333674102838161,-0.03043940947659702,0.8038379547146237,100,0.003
4,0.4,0.1393597,0.13938713,0.13937056995973154,0.10471211,0.00904701,0.005320800985711706,0.110788055,-0.2558858801288276,0.19868344568274626,0.6276057651492165,100,0.003
5,0.5,0.17468156,0.1747184,0.17469845931147324,0.13094395,0.010296779,0.006242244720357002,0.15046962,-0.29329938223759017,0.37896437636818364,0.43635895175968537,100,0.003
6,0.6,0.21172813,0.21176785,0.2117514354416933,0.16173379,0.011326956,0.007250523195445557,0.19527492,-0.29572054852492596,0.478965259791056,0.36075802614473573,100,0.003
7,0.7000000000000001,0.25040543,0.2504366,0.25043339475886667,0.19892359,0.012333994,0.008374165141494557,0.24267876,-0.26131034412903503,0.5522567338112088,0.3738429159733673,100,0.003
8,0.8,0.2912747,0.2912846,0.2913014546982164,0.24341594,0.013520625,0.009645981558319807,0.29037997,-0.193425034551995,0.6094414050691221,0.4456294716237314,100,0.003
9,0.9,0.33769873,0.3376699,0.3377095266283583,0.29535177,0.015002539,0.011094838723582754,0.33660546,-0.15312462266318236,0.6548013898654289,0.5246827339339136,100,0.003
10,1.0,0.39167947,0.39156464,0.39164641539912476,0.35018915,0.01679789,0.012742064151896527,0.3811623,-0.07760412545730468,0.6810143970526495,0.614227723188842,100,0.003
11,1.1,0.45122534,0.45089808,0.4510990277698375,0.40264606,0.01889562,0.014644154375809662,0.42398837,0.034387274395273275,0.7048161679282177,0.6979414464663112,100,0.003
12,1.2,0.5121384,0.51155984,0.5118790211675794,0.45040658,0.021364989,0.016895082898468028,0.46484742,0.1422999989691667,0.729594080793488,0.7715566460279808,100,0.003
13,1.3,0.5724909,0.57155424,0.5720259136819892,0.4917905,0.024108248,0.019409541449992095,0.5041794,0.20565425759989708,0.7422689799277515,0.8260629978938782,100,0.003
14,1.4000000000000001,0.62914634,0.6278028,0.6284299609015257,0.5269003,0.027240787,0.022241015370240695,0.54238236,0.2565107056785422,0.7444802326464169,0.8483495845127104,100,0.003
15,1.5,0.6814356,0.6796906,0.6804455625488472,0.55892754,0.03081728,0.025394678949011706,0.5784672,0.2872911134411277,0.7330778891404208,0.8558425883688258,100,0.003
16,1.6,0.7289586,0.7267791,0.7276236880286823,0.5881335,0.034736082,0.028945500060746438,0.61220616,0.31023754883070065,0.7125354456156116,0.8585582311232216,100,0.003
17,1.7,0.77449256,0.77180266,0.772682533169907,0.6174571,0.03912299,0.03303554520748771,0.6438298,0.3426396156157257,0.6931487695654759,0.8647536427536473,100,0.003
18,1.8,0.81713927,0.8137812,0.8146974454216763,0.64537454,0.043988176,0.03768520380159024,0.67350453,0.3744868726654549,0.6864283032515762,0.8560903501705638,100,0.003
19,1.9000000000000001,0.8570148,0.8528662,0.853841958851767,0.6720272,0.049289085,0.042819195445109356,0.7013717,0.37514533618940815,0.6749945677690135,0.8495020042512242,100,0.003
20,2.0,0.89276797,0.88772607,0.8888066157724174,0.69773096,0.055118315,0.04837615867515869,0.727301,0.3677296877856789,0.655119693773127,0.8565310817590216,100,0.003
