,leadtime,rmse_ctrl,rmse_ensmean_svd,rmse_ensmean_rand,rmse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0.0,0.0,1.5031252e-07,2.890739617269209e-16,7.3640877e-07,0.60387087,0.29999999999999993,5.222537e-07,0.0,0.0,0.0,100,0.3
1,0.1,0.05588127,0.11014119,0.06358257991686508,0.04962185,0.4314868,0.3084209377249874,0.02898232,0.03965371572102807,-0.0028801389680228554,0.864940546202502,100,0.3
2,0.2,0.079982676,0.23346801,0.11375650990094652,0.06527133,0.4977274,0.3641913306658353,0.05317562,0.7582325041754857,-0.34929527978932484,0.8543107482907396,100,0.3
3,0.3,0.10753608,0.38641185,0.18806509259205403,0.08312454,0.5798952,0.43010348131962967,0.07834218,0.914903456072288,0.008969451994742951,0.8038379547146237,100,0.3
4,0.4,0.1393597,0.50167304,0.27954272324386054,0.10471211,0.6145221,0.49002783160413266,0.110788055,0.9347641326454396,0.3862288811762137,0.6276057651492165,100,0.3
5,0.5,0.17468156,0.5681527,0.37318916632796456,0.13094395,0.62162054,0.5374003228463119,0.15046962,0.9158295882937882,0.6864743005204754,0.43635895175968537,100,0.3
6,0.6,0.21172813,0.6029438,0.4569297910364012,0.16173379,0.6172013,0.5721010056399651,0.19527492,0.8762831177728702,0.8365771159684064,0.36075802614473573,100,0.3
7,0.7000000000000001,0.25040543,0.62403244,0.5266383708252634,0.19892359,0.6102653,0.5971350924341364,0.24267876,0.8235591640274527,0.9021115273598342,0.3738429159733673,100,0.3
8,0.8,0.2912747,0.6456058,0.5839286551813775,0.24341594,0.6065484,0.6160071082591518,0.29037997,0.7635303899003071,0.9174433268701644,0.4456294716237314,100,0.3
9,0.9,0.33769873,0.6732134,0.6320103353971558,0.29535177,0.6094161,0.6315568637202054,0.33660546,0.6963325134192007,0.9050175878604241,0.5246827339339136,100,0.3
10,1.0,0.39167947,0.7005334,0.672859752107318,0.35018915,0.6191459,0.6452721212865319,0.3811623,0.6132916978089332,0.8975486020735459,0.614227723188842,100,0.3
11,1.1,0.45122534,0.72249544,0.707503309697222,0.40264606,0.6309928,0.6576889804182241,0.42398837,0.569272398580104,0.8968934954323373,0.6979414464663112,100,0.3
12,1.2,0.5121384,0.7430514,0.7371341285220109,0.45040658,0.6413791,0.6692219337947968,0.46484742,0.5679979431044312,0.8952939943006841,0.7715566460279808,100,0.3
13,1.3,0.5724909,0.765182,0.7623473329394034,0.4917905,0.6509114,0.6799343418831839,0.5041794,0.5597708215906192,0.8910386948164208,0.8260629978938782,100,0.3
14,1.4000000000000001,0.62914634,0.78632927,0.783681055862935,0.5269003,0.6606601,0.6899420567285234,0.54238236,0.5636238047054717,0.8859832692460515,0.8483495845127104,100,0.3
15,1.5,0.6814356,0.8069988,0.8022997218305792,0.55892754,0.67056996,0.6992725421583589,0.5784672,0.5993659879114414,0.8757272728665809,0.8558425883688258,100,0.3
16,1.6,0.7289586,0.8258897,0.8192501794721858,0.5881335,0.6807892,0.7077622686064876,0.61220616,0.6087969989609071,0.858568158914737,0.8585582311232216,100,0.3
17,1.7,0.77449256,0.8402868,0.8346803799436275,0.6174571,0.6892252,0.7152330168422121,0.6438298,0.5786962725804049,0.8327397303176932,0.8647536427536473,100,0.3
18,1.8,0.81713927,0.8514885,0.8480751832108684,0.64537454,0.694883,0.7218344736177432,0.67350453,0.5594309847318335,0.7987274024972226,0.8560903501705638,100,0.3
19,1.9000000000000001,0.8570148,0.86271816,0.8600330234004016,0.6720272,0.6990696,0.7277692920775863,0.7013717,0.5408107201637331,0.7515462911780405,0.8495020042512242,100,0.3
20,2.0,0.89276797,0.8741798,0.870984339301903,0.69773096,0.702898,0.7331566761717361,0.727301,0.5108190560961376,0.6934902069045141,0.8565310817590216,100,0.3
